Feature,Coefficient,Beta_Coefficient,Odds Ratio,P_val,Significance,diff_from_mean_coeff
seg2_n_unique_tokens,0.6666726186176519,2.5141172510164496,1.9477456339067205,9.65012406808494e-05,***,0.23185227953834353
seg2_n_characters,0.0415026977929463,0.8520368851005462,1.0423759739622305,0.0001375530438366,***,0.04429887746782457
seg2_n_stop_words,0.2857208398941905,0.8003621593139851,1.3307209192030756,3.409973700370732e-06,***,0.2996506657779581
seg2_dependency_distance_mean,0.9016078316952144,0.3451307768749771,2.463560919889259,0.0002600099985959,***,0.7786896571694941
seg2_pos_prop_PART,0.4419548009537519,0.028503154751491,1.5557454206357082,0.0018484532091798,**,0.506145802520471
seg2_prop_adjacent_dependency_relation_mean,0.4907248528785629,0.0200585164645787,1.633499837988784,6.41114430707804e-05,***,0.4942908925507937
seg2_pos_prop_PRON,0.5241707205618011,0.0180910575612685,1.6890575667223473,5.8284913584045904e-05,***,0.525758668253884
seg2_pos_prop_DET,0.0165053206903911,0.0014777563805094,1.0166422860105075,0.0002103856638328,***,0.04782645016901406
seg2_pos_prop_PUNCT,-0.061401952676497,-0.0015343082848113,0.9404451493489911,1.6662430948893005e-07,***,-0.10676579012249243
seg2_n_tokens,-0.0431027551568749,-0.1805154294992112,0.9578129647888112,1.675359186903772e-05,***,-0.5094038148147257
seg2_sentence_length_median,-0.0431027551568749,-0.1805154294992112,0.9578129647888112,1.675359186903772e-05,***,0.34431541909841235
seg2_rix,-0.2487676770280055,-0.305989749156114,0.7797611087611642,4.6085976123731625e-05,***,-0.25945517706287213
seg2_senti,-0.9506266014416558,-0.4626250537345953,0.3864987668787434,1.6459100504728058e-06,***,-1.168946234333408
seg2_doc_length,-0.895682427421474,-4.14948511097122,0.408328848735021,1.0128390965793757e-05,***,-0.05248625453320899
